condition,wandb_id,wandb_name,created_at,state
encdec,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,2026-08-11T11:52:49Z,failed
encdec,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,2026-08-11T12:40:31Z,failed
encdec,48llced7,RodentEncDec_delay100_eff100-20260811-094548,2026-08-11T13:45:49Z,failed
encdec,7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,2026-08-11T12:12:06Z,failed
encdec,8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,904oncgf,RodentEncDec_delay7_eff7-20260811-081755,2026-08-11T12:17:56Z,failed
encdec,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,2026-08-11T11:53:07Z,failed
encdec,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,2026-08-11T12:12:06Z,failed
encdec,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,2026-08-11T12:12:06Z,failed
encdec,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,2026-08-11T13:42:34Z,failed
encdec,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,2026-08-11T12:47:23Z,failed
encdec,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,2026-08-11T12:19:57Z,failed
encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,2026-08-11T13:42:34Z,failed
encdec,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,2026-08-11T12:47:05Z,failed
encdec,mpmlfb9i,RodentEncDec_delay15_eff15-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,2026-08-11T12:47:23Z,failed
encdec,op8eyyba,RodentEncDec_delay12_eff12-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,2026-08-11T12:12:06Z,failed
encdec,qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,2026-08-11T13:42:34Z,failed
encdec,vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,2026-08-11T12:38:40Z,failed
encdec,xgrebrix,RodentEncDec_delay9_eff9-20260811-081952,2026-08-11T12:19:57Z,failed
encdec,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,2026-08-11T12:08:40Z,failed
expfm,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,2026-08-11T21:42:52Z,failed
expfm,2696la26,RodentForwardModel_delay7_eff7-20260811-173808,2026-08-11T21:38:09Z,failed
expfm,3osnm0o6,RodentForwardModel_delay25_eff25-20260811-175025,2026-08-11T21:50:26Z,failed
expfm,48icppj0,RodentForwardModel_delay20_eff20-20260811-174441,2026-08-11T21:44:43Z,failed
expfm,6cbzq5on,RodentForwardModel_delay50_eff50-20260811-180113,2026-08-11T22:01:16Z,failed
expfm,6ugicoso,RodentForwardModel_delay30_eff30-20260811-175615,2026-08-11T21:56:21Z,failed
expfm,7c6xmp09,RodentForwardModel_delay9_eff9-20260811-173842,2026-08-11T21:38:43Z,failed
expfm,co9cu5aw,RodentForwardModel_delay3_eff3-20260811-163204,2026-08-11T20:32:06Z,failed
expfm,czsyqfjy,RodentForwardModel_delay70_eff70-20260811-180332,2026-08-11T22:03:34Z,failed
expfm,eq25n7dm,RodentForwardModel_delay4_eff4-20260811-173716,2026-08-11T21:37:20Z,failed
expfm,f0a0360u,RodentForwardModel_delay100_eff100-20260811-181425,2026-08-11T22:14:26Z,failed
expfm,j2bmags2,RodentForwardModel_delay5_eff5-20260811-173716,2026-08-11T21:37:20Z,failed
expfm,m5fbx6tq,RodentForwardModel_delay6_eff6-20260811-173748,2026-08-11T21:37:49Z,failed
expfm,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,2026-08-11T20:20:34Z,failed
expfm,qqzdghe9,RodentForwardModel_delay40_eff40-20260811-175614,2026-08-11T21:56:21Z,failed
expfm,qubjc67b,RodentForwardModel_delay80_eff80-20260811-181325,2026-08-11T22:13:28Z,failed
expfm,t4lisyr9,RodentForwardModel_delay8_eff8-20260811-173834,2026-08-11T21:38:35Z,failed
expfm,tuakxoap,RodentForwardModel_delay60_eff60-20260811-180332,2026-08-11T22:03:34Z,failed
expfm,vxo6rooq,RodentForwardModel_delay90_eff90-20260811-181317,2026-08-11T22:13:21Z,failed
expfm,wdnsv6wt,RodentForwardModel_delay1_eff1-20260811-163030,2026-08-11T20:30:32Z,failed
expfm,yws4x1hj,RodentForwardModel_delay15_eff15-20260811-174441,2026-08-11T21:44:43Z,failed
expfm,zgwma7ta,RodentForwardModel_delay2_eff2-20260811-163022,2026-08-11T20:30:29Z,failed
expfm,zq4rpcds,RodentForwardModel_delay12_eff12-20260811-174307,2026-08-11T21:43:09Z,failed
expfm_std25,6njfz25l,RodentForwardModel_delay5_eff5-20260813-095258,2026-08-13T13:53:06Z,finished
expfm_std25,i8v14poe,RodentForwardModel_delay0_eff0-20260813-091900,2026-08-13T13:19:09Z,finished
expfm_std25,p0t2piro,RodentForwardModel_delay20_eff20-20260813-095854,2026-08-13T13:58:55Z,finished
expfm_std25,xldnai6j,RodentForwardModel_delay50_eff50-20260813-100429,2026-08-13T14:04:34Z,finished
expfm_std25,xuud5t3n,RodentForwardModel_delay10_eff10-20260813-095355,2026-08-13T13:53:56Z,finished
pgfm_std25,10sfkazz,RodentForwardModel_delay0_eff0_nodetach-20260813-100613,2026-08-13T14:06:15Z,finished
pgfm_std25,c4fy29dd,RodentForwardModel_delay50_eff50_nodetach-20260813-121401,2026-08-13T16:14:07Z,finished
pgfm_std25,kbdzvm34,RodentForwardModel_delay20_eff20_nodetach-20260813-110541,2026-08-13T15:05:47Z,finished
pgfm_std25,qxgcldya,RodentForwardModel_delay10_eff10_nodetach-20260813-103236,2026-08-13T14:32:38Z,finished
pgfm_std25,ztll5l67,RodentForwardModel_delay5_eff5_nodetach-20260813-103229,2026-08-13T14:32:38Z,finished
